OID_,TIMESTAMP,MONTH,DAY,YEAR,HOUR,STREAMMAPI,A,B,C,D
,01.01.1998-00:00:00,1,1,1998,0,642,3545.500000000000000,8.173500000000001,3553.699999999999800,0
,01.01.1998-00:00:00,1,1,1998,0,1384,2830.599999999999900,10.443000000000000,2841.099999999999900,0
,01.01.1998-00:00:00,1,1,1998,0,1529,10579.000000000000000,41.122999999999998,10620.000000000000000,0
,01.01.1998-00:00:00,1,1,1998,0,1744,142.280000000000000,74.733000000000004,217.030000000000000,0
,01.01.1998-00:00:00,1,1,1998,0,2022,22997.000000000000000,75.379999999999995,23074.000000000000000,-1
,01.01.1998-00:00:00,1,1,1998,0,2188,35127.000000000000000,18.818000000000001,35146.000000000000000,-1
,01.01.1998-00:00:00,1,1,1998,0,2333,2487.599999999999900,58.302000000000000,2546.400000000000100,0
,01.01.1998-03:00:00,1,1,1998,3,642,3539.500000000000000,8.146800000000001,3547.800000000000200,0
,01.01.1998-03:00:00,1,1,1998,3,1384,2820.699999999999800,10.403000000000000,2831.199999999999800,0
,01.01.1998-03:00:00,1,1,1998,3,1529,10557.000000000000000,41.006000000000000,10598.000000000000000,0
,01.01.1998-03:00:00,1,1,1998,3,1744,141.970000000000000,74.626000000000005,216.610000000000010,0
,01.01.1998-03:00:00,1,1,1998,3,2022,22969.000000000000000,75.290000000000006,23046.000000000000000,-1
,01.01.1998-03:00:00,1,1,1998,3,2188,35076.000000000000000,18.809000000000001,35096.000000000000000,-1
,01.01.1998-03:00:00,1,1,1998,3,2333,2487.099999999999900,58.564999999999998,2545.699999999999800,0
,01.01.1998-06:00:00,1,1,1998,6,642,3533.300000000000200,8.120200000000001,3541.599999999999900,0
,01.01.1998-06:00:00,1,1,1998,6,1384,2820.300000000000200,10.362000000000000,2830.699999999999800,0
,01.01.1998-06:00:00,1,1,1998,6,1529,10540.000000000000000,40.889000000000003,10581.000000000000000,0
,01.01.1998-06:00:00,1,1,1998,6,1744,141.650000000000010,74.519000000000005,216.190000000000000,0
